id,date,day,month,year,day_of_week,is_weekend
83c9d914-ee04-400d-b21c-c0a50a24cc44,2014-08-13,13,8,2014,Wednesday,False
e6fd6e34-5cd5-472e-a735-a23028a8d4f7,2014-08-14,14,8,2014,Thursday,False
490ac30c-b54d-4ee8-b2d7-f62db633c143,2014-08-15,15,8,2014,Friday,False
3f12d3df-3190-4656-9c46-cce2b148e747,2014-08-16,16,8,2014,Saturday,True
5d6bd365-2e18-4ace-a578-fa915b362863,2014-08-17,17,8,2014,Sunday,True
5269034a-9b64-4bde-8431-f16c896bcb53,2014-08-18,18,8,2014,Monday,False
cfe2a350-2c3e-46d4-8ce7-53c85f34b723,2014-08-19,19,8,2014,Tuesday,False
ca14dd13-f44e-4628-88c7-934659bf5a37,2014-08-20,20,8,2014,Wednesday,False
736f4680-48ce-4ec6-86b8-aa33d90b17c2,2014-08-21,21,8,2014,Thursday,False
e130017b-030b-4688-9d9f-be6c873ac167,2014-08-22,22,8,2014,Friday,False
d3b49eac-535d-4795-9093-a80a3450706f,2014-08-23,23,8,2014,Saturday,True
dc93a0d9-789e-424f-a2af-8469449fe6b4,2014-08-24,24,8,2014,Sunday,True
2802d70e-4b98-483a-b9f4-93f88c1e078b,2014-08-25,25,8,2014,Monday,False
a4f802bb-76bd-4346-95a3-ad0f2ef5e59d,2014-08-26,26,8,2014,Tuesday,False
c45532c5-9dc5-40ea-9937-397787c1eb40,2014-08-27,27,8,2014,Wednesday,False
05828acf-5302-412f-abc8-327e55ab653e,2014-08-28,28,8,2014,Thursday,False
9f3f953c-a0cb-4755-9d15-df9c181597d6,2014-08-29,29,8,2014,Friday,False
426b7a36-0bd4-4e7d-bfcd-153382ec795f,2014-08-30,30,8,2014,Saturday,True
f2a9a0a7-0c45-47fa-827f-690d5816f16d,2014-08-31,31,8,2014,Sunday,True
85710806-df04-4922-b613-5faf9a2aa567,2014-09-01,1,9,2014,Monday,False
c21d60f2-a8a2-4bd4-a1cc-909b4e817858,2014-09-02,2,9,2014,Tuesday,False
